"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"askpass","/usr/local/lib/R/site-library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.3"
"assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.3"
"backports","/usr/local/lib/R/site-library","1.1.6",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.3"
"base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.3"
"BH","/usr/local/lib/R/site-library","1.72.0-3",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","3.6.3"
"bit","/usr/local/lib/R/site-library","1.1-15.2",NA,"R (>= 2.9.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.3"
"brew","/usr/local/lib/R/site-library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.3"
"callr","/usr/local/lib/R/site-library","3.4.3",NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.3"
"cli","/usr/local/lib/R/site-library","2.0.2",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), glue, methods, utils, fansi",NA,"callr, covr, htmlwidgets, knitr, mockery, rmarkdown,
rstudioapi, prettycode (>= 1.1.0), testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.3"
"clipr","/usr/local/lib/R/site-library","0.7.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.3"
"CohortMethod","/usr/local/lib/R/site-library","3.1.1",NA,"R (>= 3.2.2), DatabaseConnector (>= 2.2.0), Cyclops,
FeatureExtraction (>= 2.2.3)","methods, ggplot2, gridExtra, grid, bit, ff, ffbase (>=
0.12.3), plyr, Rcpp (>= 0.11.2), SqlRender (>= 1.5.2),
survival, ParallelLogger","Rcpp","testthat, pROC, knitr, rmarkdown, EmpiricalCalibration",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.6.3"
"colorspace","/usr/local/lib/R/site-library","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.3"
"commonmark","/usr/local/lib/R/site-library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.3"
"covr","/usr/local/lib/R/site-library","3.5.0",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.3"
"crayon","/usr/local/lib/R/site-library","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.3"
"crosstalk","/usr/local/lib/R/site-library","1.1.0.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.3"
"curl","/usr/local/lib/R/site-library","4.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.3"
"Cyclops","/usr/local/lib/R/site-library","2.0.3",NA,"R (>= 3.1.0)","Matrix, Rcpp (>= 0.12.12), bit, ff, ffbase, methods, survival,
MASS","Rcpp, BH (>= 1.51.0), RcppEigen (>= 0.3.2)","testthat, gnm, ggplot2, microbenchmark",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.6.3"
"DatabaseConnector","/usr/local/lib/R/site-library","2.4.3",NA,NA,"DatabaseConnectorJars, rJava, bit, ff, ffbase (>= 0.12.1),
SqlRender (>= 1.6.3), methods, utils, DBI (>= 1.0.0), urltools",NA,"aws.s3, uuid, R.utils, testthat, DBItest, knitr, rmarkdown,
RSQLite, ssh",NA,"Apache License",NA,NA,NA,NA,"no","3.6.3"
"DatabaseConnectorJars","/usr/local/lib/R/site-library","1.1.0",NA,NA,"rJava",NA,NA,NA,"Apache License",NA,NA,NA,NA,"no","3.6.3"
"DBI","/usr/local/lib/R/site-library","1.1.0",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.3"
"desc","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.3"
